   108 | -y install --disablerepo=* /tmp/akmods.kzOYBbaw/results/kmod-wl-6.0.12-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                         | 2022-12-11 22:30 | Install        |    1   
   103 | -y install --disablerepo=* /tmp/akmods.anULUWwf/results/kmod-wl-6.0.11-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                         | 2022-12-05 09:03 | Install        |    1   
   100 | -y install --disablerepo=* /tmp/akmods.Tzcs0T7s/results/kmod-wl-6.0.10-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                         | 2022-12-01 09:08 | Install        |    1   
    93 | -y install --disablerepo=* /tmp/akmods.4sAedZXz/results/kmod-wl-6.0.9-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                          | 2022-11-23 09:20 | Install        |    1   
    91 | -y install --disablerepo=* /tmp/akmods.xJq9CJOl/results/kmod-wl-6.0.8-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                          | 2022-11-20 19:52 | Install        |    1   
    89 | -y install --disablerepo=* /tmp/akmods.PFdcEM2m/results/kmod-wl-6.0.7-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                          | 2022-11-15 09:15 | Install        |    1   
    84 | -y install --disablerepo=* /tmp/akmods.eISoiL3H/results/kmod-wl-6.0.5-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                          | 2022-11-02 16:50 | Install        |    1   
    80 | -y install --disablerepo=* /tmp/akmods.KjyDz02w/results/kmod-wl-5.19.16-200.fc36.x86_64-6.30.223.271-45.fc36.x86_64.rpm                                        | 2022-10-28 08:59 | Upgrade        |    1 EE
    76 | install automake libcurl-devel                                                                                                                                 | 2022-10-21 20:08 | Install        |    1   
    75 | -y install --disablerepo=* /tmp/akmods.fuNXKgYM/results/kmod-wl-5.19.16-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-10-21 20:08 | Install        |    1 EE
    71 | -y install --disablerepo=* /tmp/akmods.kqjUCwOM/results/kmod-wl-5.19.15-201.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-10-18 09:18 | Install        |    1 E<
    70 | -y install --disablerepo=* /tmp/akmods.uYFdvkY0/results/kmod-wl-5.19.15-201.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-10-18 09:14 | Install        |    1 >#
    67 | -y install --disablerepo=* /tmp/akmods.mSnyC4CX/results/kmod-wl-5.19.13-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-10-06 23:31 | Install        |    1 EE
    65 | -y install --disablerepo=* /tmp/akmods.j7ysxUDm/results/kmod-wl-5.19.12-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-10-02 11:56 | Install        |    1 EE
    62 | install fd-find                                                                                                                                                | 2022-09-30 18:42 | Install        |    1   
    61 | install emacs                                                                                                                                                  | 2022-09-30 18:40 | Install        |    2   
    59 | remove emacs                                                                                                                                                   | 2022-09-28 21:53 | Removed        |    5   
    57 | -y install --disablerepo=* /tmp/akmods.GE8ZVumt/results/kmod-wl-5.19.11-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-09-28 12:28 | Install        |    1 EE
    55 | install python3-pip                                                                                                                                            | 2022-09-28 11:47 | I, U           |    5   
    54 | remove cargo                                                                                                                                                   | 2022-09-26 12:12 | Removed        |    3   
    53 | -y install --disablerepo=* /tmp/akmods.vUfvnQej/results/kmod-wl-5.19.9-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                         | 2022-09-20 11:38 | Install        |    1 EE
    51 | -y install --disablerepo=* /tmp/akmods.67jh5Rfu/results/kmod-wl-5.19.8-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                         | 2022-09-16 09:57 | Install        |    1 EE
    49 | remove nitrogen                                                                                                                                                | 2022-09-14 14:27 | Removed        |    2   
    48 | install nitrogen                                                                                                                                               | 2022-09-14 14:22 | Install        |    2   
    47 | install gh                                                                                                                                                     | 2022-09-13 17:01 | Install        |    1   
    46 | install stow                                                                                                                                                   | 2022-09-12 16:48 | Install        |    1   
    45 | install xinput                                                                                                                                                 | 2022-09-11 21:58 | Install        |    1   
    44 | install cargo                                                                                                                                                  | 2022-09-09 17:34 | Install        |    3   
    43 | install xclip                                                                                                                                                  | 2022-09-08 18:06 | Install        |    1   
    42 | install fzf                                                                                                                                                    | 2022-09-07 21:12 | Install        |    1   
    41 | remove cargo                                                                                                                                                   | 2022-09-07 19:01 | Removed        |    3   
    40 | install xprop                                                                                                                                                  | 2022-09-07 17:26 | Install        |    1   
    39 | install cargo                                                                                                                                                  | 2022-09-07 15:58 | Install        |    3   
    38 | install zsh                                                                                                                                                    | 2022-09-07 12:37 | Install        |    1   
    37 | remove xbacklight                                                                                                                                              | 2022-09-07 12:26 | Removed        |    1   
    36 | install xbacklight                                                                                                                                             | 2022-09-07 12:24 | Install        |    1   
    35 | install ripgrep                                                                                                                                                | 2022-09-06 15:48 | Install        |    1   
    34 | -y install --disablerepo=* /tmp/akmods.zucnHkcB/results/kmod-wl-5.19.6-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                         | 2022-09-06 14:34 | Install        |    1 EE
    32 | install -y neovim python3-neovim                                                                                                                               | 2022-09-06 14:30 | Install        |   13   
    31 | install autoconf automake gcc libpng-devel make poppler-devel poppler-glib-devel zlib-devel pkgconf                                                            | 2022-08-31 17:49 | Install        |   34   
    30 | install tex(ulem.sty)                                                                                                                                          | 2022-08-30 11:21 | Install        |    1   
    29 | install dvipng                                                                                                                                                 | 2022-08-30 11:07 | Install        |    1   
    28 | install texlive-scheme-basic                                                                                                                                   | 2022-08-30 11:05 | Install        |  374   
    27 | -y install --disablerepo=* /tmp/akmods.eryf3XEt/results/kmod-wl-5.18.19-200.fc36.x86_64-6.30.223.271-42.fc36.x86_64.rpm                                        | 2022-08-26 09:04 | Install        |    1   
    21 | install npm                                                                                                                                                    | 2022-08-23 20:21 | Install        |    6   
